Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
American Samoa,ASM,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.269230769,3.705128269,4.141025577,4.576923077,5.012820577,5.448717885,5.884615385,6.320512885,6.756410192,7.192307692,7.628205192,8.0641025,8.5,8.9358975,9.371794808,9.807692308,9.615384615,9.423076923,9.230769231,9.038461538,8.846153846,8.653846154,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,,
Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.770365854,4.290691057,4.034593496,4.504105691,4.45695122,4.435406504,4.413861789,4.402284553,4.376829268,4.234512195,4.092195122,3.949878049,3.807560976,3.568424797,3.329288618,3.090152439,2.85101626,2.677845528,2.68597561,3.225203252,3.891869919,3.752642276,1.87398374,2.159146341,2.450943368,2.506097561,2.140243902,1.756097561,,
Austria,AUT,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,6.072727273,6.158909091,6.245090909,6.331272727,6.417454545,6.503636364,6.586545455,6.669454545,6.752363636,6.835272727,6.918181818,6.788,6.657818182,6.527636364,6.397454545,6.267272727,6.444545455,6.621818182,6.643636364,6.665454545,6.610909091,6.558181818,6.503636364,6.483863636,6.464090909,6.444318182,6.424545455,6.404772727,6.385,6.365227273,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,,
Azerbaijan,AZE,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.65496,201.3308688,180.3203943,172.1503389,165.8287123,154.2575478,126.1244609,147.4799754,135.4282193,122.2797289,122.2304375,129.6118299,137.7079482,145.4097351,149.6487985,148.9217498,142.0825632,137.2766482,135.1817622,139.1990142,147.5662354,147.8003697,142.8465804,144.0418977,146.3709181,149.3530499,149.9322243,155.1447936,155.1447936,,
Burundi,BDI,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994035785,1.137788653,1.28154152,1.425294388,1.569047254,1.712800122,1.85655299,2.000305857,2.144058725,2.287811592,2.431564459,2.575317327,2.719070194,2.862823062,2.847117296,2.831411531,2.815705765,2.8,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,2.784294235,,
Belgium,BEL,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,75.25416667,74.82116667,74.38816667,73.95516667,73.52216667,73.08916667,72.65616667,72.22316667,71.79016667,71.35716667,70.92416667,70.49116667,70.05816667,69.62516667,69.19216667,68.75916667,66.42125,64.08333333,63.65444444,63.22555556,62.77583333,59.45333333,56.13083333,55.15972222,54.18861111,53.2175,52.50041667,51.78333333,51.075,50.01666667,49.60833333,42.35,44.16666667,40.24166667,37.96666667,33.28333333,34.94200271,36.60067208,34.79166667,34.99166667,34.99166667,,
Benin,BEN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.067961165,1.11473301,1.161504854,1.208276699,1.255048544,1.301820388,1.348786408,1.395752427,1.442718447,1.489684466,1.457177531,1.424670596,1.392163661,1.359656727,1.327149792,1.294642857,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,1.262135922,,
Burkina Faso,BFA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,2.41824,2.51648,2.61472,2.71296,2.8112,2.9096,3.008,3.161955555,3.315911111,3.469866666,3.623822222,3.777777778,4.64,4.912,5.184,5.456,5.728,6,6.272,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,,
Bangladesh,BGD,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,,
Bulgaria,BGR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,67.52380952,67.43809524,67.35238095,67.26666667,67.18095238,67.0952381,64.56911111,62.04298413,59.51685714,56.99073016,36.3031746,35.59333333,34.88349206,34.17365079,33.46380952,32.75396825,32.04412698,31.33428571,30.62444444,29.91460317,29.20333333,27.77809524,31.3747619,31.00628571,30.63780952,30.26933333,29.90085714,29.53238095,30.5952381,29.14428571,28.38095238,30.4047619,27.21238095,26.03809524,25.6,26.80666667,27.09047619,26.94285714,25.83333333,25.81904762,24.17142857,,
Bahrain,BHR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4872.5,4956.73077,5194.182693,5447.211538,5700.240385,5953.26923,6206.298078,6459.326923,6712.35577,6965.384615,7218.413463,6808.108975,6397.804488,5967.5,5832.045455,5696.59091,5561.136363,5425.681818,5290.227273,5154.772728,5019.318183,4883.863638,4748.40909,4612.954545,4477.5,3977.5,3877.5,3877.5,3877.5,3877.5,3877.5,,
"Bahamas, The",BHS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.047323944,1.052394366,1.057746479,1.063098592,1.067605634,1.066760563,1.071549296,1.097464789,1.103943662,1.210985915,1.226478873,1.193239437,1.232957746,1.227605634,1.161690141,1.178873239,1.181971831,1.129295775,0.878873239,0.86056338,0.848676056,,
Belarus,BLR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.823529412,5.739411765,5.655294118,5.571176471,5.487058824,5.402941176,5.325882353,5.248823529,5.171764706,5.094705882,5.017647059,4.924705882,4.831764706,4.738823529,4.645882353,4.552941176,4.519607843,4.48627451,4.452941176,4.620588235,4.258823529,4.270588235,4.108823529,4.088235294,3.994117647,3.905882353,,
Belize,BLZ,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131061599,0.151304735,0.171547871,0.191791007,0.212034144,0.232277279,0.252520415,0.315889058,0.379257702,0.435778376,0.492299051,0.548819725,0.6053404,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,0.661861075,,
Bermuda,BMU,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408566722,0.428148869,0.447731017,0.467313165,0.486895312,0.50647746,0.526059608,0.545641755,0.565223903,0.584806051,0.604388198,0.623970346,0.643552494,0.64851813,0.653483767,0.658449403,0.66341504,0.668380677,0.673346313,0.67831195,0.683277586,0.687973641,0.687973641,0.687973641,0.687973641,0.687973641,0.687973641,0.687973641,0.687973641,0.687973641,0.687973641,0.687973641,0.687973641,0.687973641,,
Brazil,BRA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.618971913,0.657893187,0.696814462,0.735735736,0.77465701,0.813578284,0.852499558,0.891420833,0.930342107,0.968556792,0.974209504,0.979862215,0.985514927,0.991167638,0.99682035,1.002473061,1.008125773,1.013778484,1.019431196,1.025083907,1.099099099,1.172955308,1.246879968,1.320804628,1.277435524,1.234066419,1.190697315,1.148595654,1.128069246,1.171347818,1.160219043,1.174704116,1.191308956,1.186892775,,
Barbados,BRB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,37.5,39.375,41.25,43.125,45,46.875,48.75,50.625,52.5,54.375,56.25,58.125,60,61.875,63.75,65.625,67.5,69.375,71.25,73.125,75,76.875,78.75,80.625,82.5,84.375,86.25,88.125,90,91.875,93.75,95.625,97.5,99.375,101.25,101.25,101.25,101.25,101.25,101.25,101.25,101.25,101.25,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,,
Brunei Darussalam,BRN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894117647,0.956862745,1.019607844,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941,,
Bhutan,BTN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,,
Botswana,BWA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,3.886666667,4.023333333,4.16,4.296666667,4.433333333,4.570833333,4.708333333,5.130555554,5.552777779,5.975,6.396666667,6.818333333,7.24,7.661666667,8.083333333,8.095454546,8.107575758,8.119696971,8.131818183,8.143939396,8.156060604,8.168181817,8.180303029,8.192424242,8.204545454,8.216666667,8.1,7.964583333,7.829166667,7.829166667,8.3875,8.041666667,8.5,8.416666667,9.184483333,,
Central African Republic,CAF,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013758865,0.016312057,0.018865248,0.02141844,0.023971631,0.026524823,0.029078014,0.031631206,0.034184397,0.036737589,0.03929078,0.041843972,0.044397163,0.046950355,0.047843972,0.048737589,0.049631206,0.050524823,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,0.05141844,,
